Date,Close
2020-05-20,163.11
2020-05-21,165.52
2020-05-22,163.38
2020-05-26,163.77
2020-05-27,164.05
2020-05-28,161.16
2020-05-29,167
2020-06-01,179.62
2020-06-02,176.31
2020-06-03,176.59
2020-06-04,172.88
2020-06-05,177.13
2020-06-08,189.98
2020-06-09,188.13
2020-06-10,205.01
2020-06-11,194.57
2020-06-12,187.06
2020-06-15,198.18
2020-06-16,196.43
2020-06-17,198.36
2020-06-18,200.79
2020-06-19,200.18
2020-06-22,198.86
2020-06-23,200.36
2020-06-24,192.17
2020-06-25,197.2
2020-06-26,191.95
2020-06-29,201.87
2020-06-30,215.96
2020-07-01,223.93
2020-07-02,241.73
2020-07-06,274.32
2020-07-07,277.97
2020-07-08,273.18
2020-07-09,278.86
2020-07-10,308.93
2020-07-13,299.41
2020-07-14,303.36
2020-07-15,309.2
2020-07-16,300.13
2020-07-17,300.17
2020-07-20,328.6
2020-07-21,313.67
2020-07-22,318.47
2020-07-23,302.61
2020-07-24,283.4
2020-07-27,307.92
2020-07-28,295.3
2020-07-29,299.82
2020-07-30,297.5
2020-07-31,286.15
2020-08-03,297
2020-08-04,297.4
2020-08-05,297
2020-08-06,297.92
2020-08-07,290.54
2020-08-10,283.71
2020-08-11,274.88
2020-08-12,310.95
2020-08-13,324.2
2020-08-14,330.14
2020-08-17,367.13
2020-08-18,377.42
2020-08-19,375.71
2020-08-20,400.37
2020-08-21,410
2020-08-24,402.84
2020-08-25,404.67
2020-08-26,430.63
2020-08-27,447.75
2020-08-28,442.68
2020-08-31,498.32
2020-09-01,475.05
2020-09-02,447.37
2020-09-03,407
2020-09-04,418.32
2020-09-08,330.21
2020-09-09,366.28
2020-09-10,371.34
2020-09-11,372.72
2020-09-14,419.62
2020-09-15,449.76
2020-09-16,441.76
2020-09-17,423.43
2020-09-18,442.15
2020-09-21,449.39
2020-09-22,424.23
2020-09-23,380.36
2020-09-24,387.79
2020-09-25,407.34
2020-09-28,421.2
2020-09-29,419.07
2020-09-30,429.01
2020-10-01,448.16
2020-10-02,415.09
2020-10-05,425.68
2020-10-06,413.98
2020-10-07,425.3
2020-10-08,425.92
2020-10-09,434
2020-10-12,442.3
2020-10-13,446.65
2020-10-14,461.3
2020-10-15,448.88
2020-10-16,439.67
2020-10-19,430.83
2020-10-20,421.94
2020-10-21,422.64
2020-10-22,425.79
2020-10-23,420.63
2020-10-26,420.28
2020-10-27,424.68
2020-10-28,406.02
2020-10-29,410.83
2020-10-30,388.04
2020-11-02,400.51
2020-11-03,423.9
2020-11-04,420.98
2020-11-05,438.09
2020-11-06,429.95
2020-11-09,421.26
2020-11-10,410.36
2020-11-11,417.13
2020-11-12,411.76
2020-11-13,408.5
2020-11-16,408.09
2020-11-17,441.61
2020-11-18,486.64
2020-11-19,499.27
2020-11-20,489.61
2020-11-23,521.85
2020-11-24,555.38
2020-11-25,574
2020-11-27,585.76
2020-11-30,567.6
2020-12-01,584.76
2020-12-02,568.82
2020-12-03,593.38
2020-12-04,599.04
2020-12-07,641.76
2020-12-08,649.88
2020-12-09,604.48
2020-12-10,627.07
2020-12-11,609.99
2020-12-14,639.83
2020-12-15,633.25
2020-12-16,622.77
2020-12-17,655.9
2020-12-18,695
2020-12-21,649.86
2020-12-22,640.34
2020-12-23,645.98
